//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 3-22-2015
//--  Time: 15:24
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: 0.0(C), 	Resistance 1: 94000.0 Ohms 
//--    Temperature2: 50.0(C), 	Resistance 2: 11000.0 Ohms 
//--    Temperature3: 98.0(C), 	Resistance 3: 2370.0 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
213	302.51	3025 	1.040
214	302.02	3020 	1.045
215	301.53	3015 	1.050
216	301.04	3010 	1.055
217	300.56	3006 	1.060
218	300.07	3001 	1.064
219	299.59	2996 	1.069
220	299.11	2991 	1.074
221	298.64	2986 	1.079
222	298.16	2982 	1.084
223	297.69	2977 	1.089
224	297.22	2972 	1.094
225	296.75	2968 	1.099
226	296.29	2963 	1.104
227	295.82	2958 	1.108
228	295.36	2954 	1.113
229	294.90	2949 	1.118
230	294.44	2944 	1.123
231	293.99	2940 	1.128
232	293.53	2935 	1.133
233	293.08	2931 	1.138
234	292.63	2926 	1.143
235	292.18	2922 	1.147
236	291.73	2917 	1.152
237	291.29	2913 	1.157
238	290.85	2908 	1.162
239	290.41	2904 	1.167
240	289.97	2900 	1.172
241	289.53	2895 	1.177
242	289.09	2891 	1.182
243	288.66	2887 	1.187
244	288.23	2882 	1.191
245	287.80	2878 	1.196
246	287.37	2874 	1.201
247	286.94	2869 	1.206
248	286.51	2865 	1.211
249	286.09	2861 	1.216
250	285.67	2857 	1.221
251	285.25	2852 	1.226
252	284.83	2848 	1.230
253	284.41	2844 	1.235
254	283.99	2840 	1.240
255	283.58	2836 	1.245
256	283.17	2832 	1.250
257	282.76	2828 	1.255
258	282.35	2823 	1.260
259	281.94	2819 	1.265
260	281.53	2815 	1.270
261	281.12	2811 	1.274
262	280.72	2807 	1.279
263	280.32	2803 	1.284
264	279.92	2799 	1.289
265	279.52	2795 	1.294
266	279.12	2791 	1.299
267	278.72	2787 	1.304
268	278.33	2783 	1.309
269	277.93	2779 	1.313
270	277.54	2775 	1.318
271	277.15	2771 	1.323
272	276.76	2768 	1.328
273	276.37	2764 	1.333
274	275.98	2760 	1.338
275	275.59	2756 	1.343
276	275.21	2752 	1.348
277	274.82	2748 	1.353
278	274.44	2744 	1.357
279	274.06	2741 	1.362
280	273.68	2737 	1.367
281	273.30	2733 	1.372
282	272.92	2729 	1.377
283	272.55	2725 	1.382
284	272.17	2722 	1.387
285	271.80	2718 	1.392
286	271.43	2714 	1.396
287	271.05	2711 	1.401
288	270.68	2707 	1.406
289	270.32	2703 	1.411
290	269.95	2699 	1.416
291	269.58	2696 	1.421
292	269.21	2692 	1.426
293	268.85	2688 	1.431
294	268.49	2685 	1.436
295	268.12	2681 	1.440
296	267.76	2678 	1.445
297	267.40	2674 	1.450
298	267.04	2670 	1.455
299	266.68	2667 	1.460
300	266.33	2663 	1.465
301	265.97	2660 	1.470
302	265.61	2656 	1.475
303	265.26	2653 	1.479
304	264.91	2649 	1.484
305	264.55	2646 	1.489
306	264.20	2642 	1.494
307	263.85	2639 	1.499
308	263.50	2635 	1.504
309	263.15	2632 	1.509
310	262.81	2628 	1.514
311	262.46	2625 	1.519
312	262.12	2621 	1.523
313	261.77	2618 	1.528
314	261.43	2614 	1.533
315	261.09	2611 	1.538
316	260.74	2607 	1.543
317	260.40	2604 	1.548
318	260.06	2601 	1.553
319	259.72	2597 	1.558
320	259.39	2594 	1.563
321	259.05	2590 	1.567
322	258.71	2587 	1.572
323	258.38	2584 	1.577
324	258.04	2580 	1.582
325	257.71	2577 	1.587
326	257.38	2574 	1.592
327	257.04	2570 	1.597
328	256.71	2567 	1.602
329	256.38	2564 	1.606
330	256.05	2561 	1.611
331	255.72	2557 	1.616
332	255.40	2554 	1.621
333	255.07	2551 	1.626
334	254.74	2547 	1.631
335	254.42	2544 	1.636
336	254.09	2541 	1.641
337	253.77	2538 	1.646
338	253.44	2534 	1.650
339	253.12	2531 	1.655
340	252.80	2528 	1.660
341	252.48	2525 	1.665
342	252.16	2522 	1.670
343	251.84	2518 	1.675
344	251.52	2515 	1.680
345	251.20	2512 	1.685
346	250.89	2509 	1.689
347	250.57	2506 	1.694
348	250.25	2503 	1.699
349	249.94	2499 	1.704
350	249.62	2496 	1.709
351	249.31	2493 	1.714
352	249.00	2490 	1.719
353	248.69	2487 	1.724
354	248.37	2484 	1.729
355	248.06	2481 	1.733
356	247.75	2478 	1.738
357	247.44	2474 	1.743
358	247.14	2471 	1.748
359	246.83	2468 	1.753
360	246.52	2465 	1.758
361	246.21	2462 	1.763
362	245.91	2459 	1.768
363	245.60	2456 	1.772
364	245.30	2453 	1.777
365	244.99	2450 	1.782
366	244.69	2447 	1.787
367	244.38	2444 	1.792
368	244.08	2441 	1.797
369	243.78	2438 	1.802
370	243.48	2435 	1.807
371	243.18	2432 	1.812
372	242.88	2429 	1.816
373	242.58	2426 	1.821
374	242.28	2423 	1.826
375	241.98	2420 	1.831
376	241.68	2417 	1.836
377	241.39	2414 	1.841
