//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 7-11-2014
//--  Time: 21:16
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:linearGenerator
//-- Table Identifier:002//-- generated by Custom linear generator using user input data:
//-- Volts:0, 5     AFR:10, 20
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
228	12.23	122 	1.113
229	12.24	122 	1.118
230	12.25	122 	1.123
231	12.26	123 	1.128
232	12.27	123 	1.133
233	12.28	123 	1.138
234	12.29	123 	1.143
235	12.29	123 	1.147
236	12.30	123 	1.152
237	12.31	123 	1.157
238	12.32	123 	1.162
239	12.33	123 	1.167
240	12.34	123 	1.172
241	12.35	124 	1.177
242	12.36	124 	1.182
243	12.37	124 	1.187
244	12.38	124 	1.191
245	12.39	124 	1.196
246	12.40	124 	1.201
247	12.41	124 	1.206
248	12.42	124 	1.211
249	12.43	124 	1.216
250	12.44	124 	1.221
251	12.45	125 	1.226
252	12.46	125 	1.230
253	12.47	125 	1.235
254	12.48	125 	1.240
255	12.49	125 	1.245
256	12.50	125 	1.250
257	12.51	125 	1.255
258	12.52	125 	1.260
259	12.53	125 	1.265
260	12.54	125 	1.270
261	12.55	125 	1.274
262	12.56	126 	1.279
263	12.57	126 	1.284
264	12.58	126 	1.289
265	12.59	126 	1.294
266	12.60	126 	1.299
267	12.61	126 	1.304
268	12.62	126 	1.309
269	12.63	126 	1.313
270	12.64	126 	1.318
271	12.65	126 	1.323
272	12.66	127 	1.328
273	12.67	127 	1.333
274	12.68	127 	1.338
275	12.69	127 	1.343
276	12.70	127 	1.348
277	12.71	127 	1.353
278	12.71	127 	1.357
279	12.72	127 	1.362
280	12.73	127 	1.367
281	12.74	127 	1.372
282	12.75	128 	1.377
283	12.76	128 	1.382
284	12.77	128 	1.387
285	12.78	128 	1.392
286	12.79	128 	1.396
287	12.80	128 	1.401
288	12.81	128 	1.406
289	12.82	128 	1.411
290	12.83	128 	1.416
291	12.84	128 	1.421
292	12.85	129 	1.426
293	12.86	129 	1.431
294	12.87	129 	1.436
295	12.88	129 	1.440
296	12.89	129 	1.445
297	12.90	129 	1.450
298	12.91	129 	1.455
299	12.92	129 	1.460
300	12.93	129 	1.465
301	12.94	129 	1.470
302	12.95	129 	1.475
303	12.96	130 	1.479
304	12.97	130 	1.484
305	12.98	130 	1.489
306	12.99	130 	1.494
307	13.00	130 	1.499
308	13.01	130 	1.504
309	13.02	130 	1.509
310	13.03	130 	1.514
311	13.04	130 	1.519
312	13.05	130 	1.523
313	13.06	131 	1.528
314	13.07	131 	1.533
315	13.08	131 	1.538
316	13.09	131 	1.543
317	13.10	131 	1.548
318	13.11	131 	1.553
319	13.12	131 	1.558
320	13.13	131 	1.563
321	13.13	131 	1.567
322	13.14	131 	1.572
323	13.15	132 	1.577
324	13.16	132 	1.582
325	13.17	132 	1.587
326	13.18	132 	1.592
327	13.19	132 	1.597
328	13.20	132 	1.602
329	13.21	132 	1.606
330	13.22	132 	1.611
331	13.23	132 	1.616
332	13.24	132 	1.621
333	13.25	133 	1.626
334	13.26	133 	1.631
335	13.27	133 	1.636
336	13.28	133 	1.641
337	13.29	133 	1.646
338	13.30	133 	1.650
339	13.31	133 	1.655
340	13.32	133 	1.660
341	13.33	133 	1.665
342	13.34	133 	1.670
343	13.35	133 	1.675
344	13.36	134 	1.680
345	13.37	134 	1.685
346	13.38	134 	1.689
347	13.39	134 	1.694
348	13.40	134 	1.699
349	13.41	134 	1.704
350	13.42	134 	1.709
351	13.43	134 	1.714
352	13.44	134 	1.719
353	13.45	134 	1.724
354	13.46	135 	1.729
355	13.47	135 	1.733
356	13.48	135 	1.738
357	13.49	135 	1.743
358	13.50	135 	1.748
359	13.51	135 	1.753
360	13.52	135 	1.758
361	13.53	135 	1.763
362	13.54	135 	1.768
363	13.54	135 	1.772
364	13.55	136 	1.777
365	13.56	136 	1.782
366	13.57	136 	1.787
367	13.58	136 	1.792
368	13.59	136 	1.797
369	13.60	136 	1.802
370	13.61	136 	1.807
371	13.62	136 	1.812
372	13.63	136 	1.816
373	13.64	136 	1.821
374	13.65	137 	1.826
375	13.66	137 	1.831
376	13.67	137 	1.836
377	13.68	137 	1.841
378	13.69	137 	1.846
379	13.70	137 	1.851
380	13.71	137 	1.855
381	13.72	137 	1.860
382	13.73	137 	1.865
383	13.74	137 	1.870
384	13.75	138 	1.875
385	13.76	138 	1.880
386	13.77	138 	1.885
387	13.78	138 	1.890
388	13.79	138 	1.895
389	13.80	138 	1.899
390	13.81	138 	1.904
391	13.82	138 	1.909
392	13.83	138 	1.914
393	13.84	138 	1.919
394	13.85	138 	1.924
